NOMBRE,TIPO ELECCIÓN,ENTIDAD,CIRCUNSCRIPCIÓN,E-MAIL,PARTIDO,ESCOLARIDAD,ADHERENTE,APROBADAS,DE GRUPO,APROBADAS,I. INICIANTE,A. INICIANTE,DG,A.DG,TOTAL APROBADAS,TOTAL INICIATIVAS
Dip. Luis Enrique Miranda Nava,Representación proporcional,México ,5 ,luis.miranda@diputados.gob.mx ,Pri,Licenciatura,19 ,2,1 ,0,0,0,1 ,0,2,21
Dip. Alejandro Mojica Toledo,Mayoría Relativa,Morelos ,1 ,alejandro.mojica@diputados.gob.mx ,Morena,Carrera Trunca,5 ,0,15 ,10,0,0,0,0,10,20
Dip. Víctor Adolfo Mojica Wences,Mayoría Relativa,Guerrero ,1 ,victor.mojica@diputados.gob.mx ,Morena,Especialidad,10 ,0,15 ,10,5 ,0,0,0,10,30
Dip. Irineo Molina Espinoza,Mayoría Relativa,Oaxaca ,1 ,irineo.molina@diputados.gob.mx ,Morena,Licenciatura,6 ,0,15 ,10,12 ,3,0,0,13,33
Dip. José Luis Montalvo Luna,Mayoría Relativa,México ,39 ,jose.montalvo@diputados.gob.mx ,_PT,Doctorado,7 ,1,6 ,0,9 ,3,0,0,4,22
Dip. María de Lourdes Montes Hernández,Mayoría Relativa,Durango ,2 ,lourdes.montes@diputados.gob.mx ,Morena,Ninguna,3 ,1,0,0,1 ,0,0,0,1,4
Dip. Jorge Luis Montes Nieves,Mayoría Relativa,Querétaro ,2 ,jorge.montes@diputados.gob.mx ,Morena,Licenciatura,5 ,0,15 ,10,4 ,0,0,0,10,25
Dip. Carmen Mora García,Mayoría Relativa,Veracruz ,9 ,carmen.mora@diputados.gob.mx ,Morena,Secundaria,6 ,0,15 ,10,1 ,0,1 ,0,10,23
Dip. María Teresa Rebeca Rosa Mora Ríos,Mayoría Relativa,México ,22 ,teresa.mora@diputados.gob.mx ,Morena,Licenciatura,17 ,2,15 ,10,3 ,0,0,0,12,35
Dip. Erik Isaac Morales Elvira,Mayoría Relativa,Baja California ,7 ,erik.morales@diputados.gob.mx ,Morena,Secretario del Deporte en el Comité Municipal de Baja California,0,0,15 ,10,6 ,2,0,0,12,21
Dip. Eudoxio Morales Flores,Mayoría Relativa,Puebla ,12 ,eudoxio.morales@diputados.gob.mx ,Encuentro,Doctorado,15 ,0,1 ,0,1 ,0,1 ,0,0,18
Dip. Carlos Alberto Morales Vázquez,Representación proporcional,Chiapas ,3 ,carlos.morales@diputados.gob.mx ,_SP,Licenciatura,2 ,0,0,0,2 ,0,0,0,0,4
Dip. Rubén Ignacio Moreira Valdez,Representación proporcional,Coahuila ,2 ,ruben.moreira@diputados.gob.mx ,Pri,Maestría,24 ,1,1 ,0,20 ,0,0,0,1,45
Dip. Mario Ismael Moreno Gil,Mayoría Relativa,Baja California ,5 ,ismael.moreno@diputados.gob.mx ,Morena,Carrera Trunca,3 ,0,15 ,10,5 ,0,0,0,10,23
Dip. Esmeralda de los Angeles Moreno Medina,Mayoría Relativa,México ,26 ,esmeralda.moreno@diputados.gob.mx ,Encuentro,Maestría,12 ,2,5 ,1,5 ,1,0,0,4,22
Dip. Ulises Murguía Soto,Mayoría Relativa,México ,19 ,ulises.murguia@diputados.gob.mx ,Morena,Licenciatura,0,0,15 ,10,0,0,1 ,0,10,16
Dip. Janet Melanie Murillo Chávez,Mayoría Relativa,Guanajuato ,9 ,janet.murillo@diputados.gob.mx ,pan,Especialidad,101 ,7,28 ,2,7 ,0,2 ,0,9,138
Dip. Porfirio Muñoz Ledo ,Representación proporcional,Ciudad de México ,4 ,porfirio.munozledo@diputados.gob.mx ,Morena,Doctorado,0,0,15 ,10,8 ,1,0,0,11,23
Dip. Miguel Ángel Márquez González,Representación proporcional,Jalisco ,1 ,miguel.marquez@diputados.gob.mx ,Morena,Licenciatura,3 ,0,15 ,10,0,0,1 ,0,10,19
Dip. Dulce María Méndez De La Luz Dauzón,Representación proporcional,Veracruz ,3 ,dulce.mendez@diputados.gob.mx ,ano,Licenciatura,41 ,7,27 ,1,10 ,1,4 ,0,9,82
Dip. Alma Delia Navarrete Rivera,Mayoría Relativa,México ,10 ,alma.navarrete@diputados.gob.mx ,Morena,Carrera Trunca,25 ,1,15 ,10,0,0,1 ,0,11,41
Dip. Ernesto Javier Nemer Alvarez,Representación proporcional,México ,5 ,ernesto.nemer@diputados.gob.mx ,Pri,Licenciatura,28 ,2,1 ,0,4 ,0,0,0,2,33
Dip. Martha Lizeth Noriega Galaz,Mayoría Relativa,Baja California ,2 ,martha.noriega@diputados.gob.mx ,Morena,Ninguna,0,0,0,0,1 ,0,0,0,0,1
Dip. Hortensia María Luisa Noroña Quezada,Representación proporcional,Jalisco ,1 ,hortensia.norona@diputados.gob.mx ,Pri,Carrera Trunca,32 ,3,1 ,0,7 ,0,0,0,3,40
Dip. Oscar Rafael Novella Macías,Representación proporcional,Zacatecas ,2 ,oscar.novella@diputados.gob.mx ,Morena,Maestría,9 ,1,15 ,10,2 ,1,0,0,12,26
Dip. Estela Núñez Alvarez,Mayoría Relativa,Tabasco ,1 ,estela.nunez@diputados.gob.mx ,Morena,Licenciatura,7 ,0,15 ,10,1 ,0,0,0,10,23
Dip. Sarai Núñez Cerón,Mayoría Relativa,Guanajuato ,12 ,sarai.nunez@diputados.gob.mx ,pan,Maestría,92 ,8,26 ,2,8 ,1,2 ,0,11,128
Dip. Manuela del Carmen Obrador Narváez,Mayoría Relativa,Chiapas ,1 ,manuela.obrador@diputados.gob.mx ,Morena,Licenciatura,0,0,15 ,10,1 ,1,0,0,11,16
Dip. Araceli Ocampo Manzanares,Mayoría Relativa,Guerrero ,2 ,araceli.ocampo@diputados.gob.mx ,Morena,Licenciatura,9 ,0,15 ,10,5 ,1,1 ,0,11,30
Dip. Enrique Ochoa Reza,Representación proporcional,Michoacán ,5 ,enrique.ochoa@diputados.gob.mx ,Pri,Doctorado,41 ,3,1 ,0,1 ,0,1 ,0,3,44
Dip. Zaira Ochoa Valdivia,Representación proporcional,Veracruz ,3 ,zaira.ochoa@diputados.gob.mx ,Morena,Maestría,6 ,1,15 ,10,0,0,0,0,11,21
Dip. Simey Olvera Bautista,Mayoría Relativa,Hidalgo ,3 ,simey.olvera@diputados.gob.mx ,Morena,Maestría,119 ,12,15 ,10,4 ,0,1 ,0,22,139
Dip. Vicente Alberto Onofre Vázquez,Mayoría Relativa,México ,33 ,vicente.onofre@diputados.gob.mx ,Morena,Otro,1 ,0,5 ,1,5 ,1,1 ,0,2,12
Dip. David Orihuela Nava,Mayoría Relativa,México ,23 ,david.orihuela@diputados.gob.mx ,Morena,Licenciatura,0,0,15 ,10,2 ,0,0,0,10,17
Dip. Antonio Ortega Martínez,Representación proporcional,Aguascalientes ,2 ,antonio.ortega@diputados.gob.mx ,d01,Licenciatura,6 ,1,42 ,1,8 ,1,2 ,0,3,58
Dip. Ma. del Pilar Ortega Martínez,Mayoría Relativa,Guanajuato ,6 ,pilar.ortega@diputados.gob.mx ,pan,Maestría,75 ,6,26 ,2,7 ,0,3 ,0,8,111
Dip. Hilda Patricia Ortega Nájera,Mayoría Relativa,Durango ,4 ,hilda.ortega@diputados.gob.mx ,Morena,Licenciatura,6 ,1,15 ,10,4 ,1,0,0,12,25
Dip. Juan Ortiz Guarneros,Representación proporcional,Veracruz ,3 ,juan.ortiz@diputados.gob.mx ,Pri,Licenciatura,53 ,5,1 ,0,0,0,1 ,0,5,55
Dip. Dolores Padierna Luna,Mayoría Relativa,Ciudad de México ,12 ,dolores.padierna@diputados.gob.mx ,Morena,Licenciatura,17 ,0,15 ,10,6 ,2,1 ,0,12,39
Dip. Lucio Ernesto Palacios Cordero,Representación proporcional,Ciudad de México ,4 ,ernesto.palacios@diputados.gob.mx ,Morena,Licenciatura,2 ,0,15 ,10,1 ,0,0,0,10,18
Dip. Carmen Patricia Palma Olvera,Mayoría Relativa,Quintana Roo ,2 ,carmen.palma@diputados.gob.mx ,Morena,Presidenta del Barzón en Quintana Roo,0,0,15 ,10,4 ,1,4 ,0,11,23
Dip. Alejandra Pani Barragán,Mayoría Relativa,Morelos ,2 ,alejandra.pani@diputados.gob.mx ,Morena,Maestría,4 ,1,15 ,10,3 ,0,0,0,11,22
Dip. Inés Parra Juárez,Mayoría Relativa,Puebla ,4 ,ines.parra@diputados.gob.mx ,Morena,Licenciatura,0,0,15 ,10,0,0,0,0,10,15
Dip. Claudia Pastor Badilla,Representación proporcional,Ciudad de México ,4 ,claudia.pastor@diputados.gob.mx ,Pri,Maestría,42 ,2,1 ,0,4 ,0,0,0,2,47
Dip. Cecilia Anunciación Patrón Laviada,Representación proporcional,Yucatán ,3 ,cecilia.patron@diputados.gob.mx ,pan,Licenciatura,109 ,8,27 ,2,3 ,1,3 ,0,11,142
Dip. Carlos Pavón Campos,Representación proporcional,Zacatecas ,2 ,carlos.pavon@diputados.gob.mx ,Pri,Secundaria,33 ,2,1 ,0,4 ,0,0,0,2,38
Dip. Ana Patricia Peralta De La Peña,Representación proporcional,Quintana Roo ,3 ,ana.peralta@diputados.gob.mx ,Morena,Licenciatura,17 ,1,15 ,10,6 ,0,30 ,4,15,68
Dip. Adela Piña Bernal,Representación proporcional,Ciudad de México ,4 ,adela.pina@diputados.gob.mx ,Morena,Licenciatura,3 ,0,15 ,10,2 ,0,2 ,2,12,22
Dip. Alejandro Ponce Cobos,Representación proporcional,Oaxaca ,3 ,alejandro.ponce@diputados.gob.mx ,Morena,Representante General,7 ,2,15 ,10,1 ,1,0,0,13,23
Dip. María Geraldine Ponce Méndez,Mayoría Relativa,Nayarit ,2 ,maria.ponce@diputados.gob.mx ,Morena,Licenciatura,2 ,0,15 ,10,0,0,0,0,10,17
Dip. Jesús de los Ángeles Pool Moo,Mayoría Relativa,Quintana Roo ,4 ,jesus.pool@diputados.gob.mx ,Morena,Licenciatura,1 ,0,15 ,10,0,0,0,0,10,16
Dip. Alfredo Porras Domínguez,Mayoría Relativa,Baja California Sur ,2 ,alfredo.porras@diputados.gob.mx ,_PT,Licenciatura,12 ,0,6 ,0,0,0,0,0,0,18
Dip. Miguel Prado de los Santos,Mayoría Relativa,Chiapas ,7 ,miguel.prado@diputados.gob.mx ,Morena,Licenciatura,0,0,15 ,10,0,0,0,0,10,15
Dip. Jorge Luis Preciado Rodríguez,Representación proporcional,Colima ,5 ,jorge.preciado@diputados.gob.mx ,pan,Maestría,76 ,5,27 ,2,4 ,0,2 ,0,7,109
Dip. Carmen Julia Prudencio González,Mayoría Relativa,Jalisco ,9 ,carmen.prudencio@diputados.gob.mx ,ano,Licenciatura,18 ,4,27 ,1,5 ,1,6 ,0,6,56
Dip. Ximena Puente De La Mora,Representación proporcional,Colima ,5 ,ximena.puente@diputados.gob.mx ,Pri,Doctorado,42 ,5,1 ,0,8 ,1,4 ,0,6,55
Dip. Carlos Alberto Puente Salas,Representación proporcional,Zacatecas ,2 ,carlos.puente@diputados.gob.mx ,vrd,Licenciatura,7 ,0,29 ,2,1 ,0,27 ,4,6,64
Dip. Alfonso Pérez Arroyo,Mayoría Relativa,Puebla ,9 ,alfonso.perez@diputados.gob.mx ,Morena,Ninguna,5 ,0,0,0,0,0,0,0,0,5
Dip. Jaime Humberto Pérez Bernabe,Mayoría Relativa,Veracruz ,6 ,jaime.perez@diputados.gob.mx ,Morena,Especialidad,13 ,1,15 ,10,0,0,1 ,0,11,29
Dip. Víctor Manuel Pérez Díaz,Representación proporcional,Nuevo León ,2 ,manuel.perez@diputados.gob.mx ,pan,Maestría,90 ,6,27 ,2,6 ,1,3 ,0,9,126
Dip. José Ángel Pérez Hernández,Mayoría Relativa,Coahuila ,6 ,joseangel.perez@diputados.gob.mx ,Encuentro,Licenciatura,14 ,1,5 ,1,3 ,0,1 ,0,2,23
Dip. Sergio Pérez Hernández,Representación proporcional,México ,5 ,sergio.perez@diputados.gob.mx ,Morena,Carrera Técnica,3 ,0,15 ,10,1 ,0,0,0,10,19
Dip. Beatriz Dominga Pérez López,Mayoría Relativa,Oaxaca ,6 ,beatriz.perez@diputados.gob.mx ,Morena,Licenciatura,5 ,0,15 ,10,4 ,1,1 ,0,11,25
Dip. Miriam Citlally Pérez Mackintosh,Representación proporcional,Nayarit ,1 ,miriam.perez@diputados.gob.mx ,Morena,Carrera Técnica,1 ,0,15 ,10,0,0,0,0,10,16
Dip. Soraya Pérez Munguía,Representación proporcional,Tabasco ,3 ,soraya.perez@diputados.gob.mx ,Pri,Maestría,33 ,2,1 ,0,11 ,1,0,0,3,45
Dip. Evaristo Lenin Pérez Rivera,Mayoría Relativa,Coahuila ,1 ,evaristo.perez@diputados.gob.mx ,pan,Maestría,97 ,6,27 ,2,8 ,0,2 ,0,8,134
Dip. Claudia Pérez Rodríguez,Mayoría Relativa,Tlaxcala ,3 ,claudia.perez@diputados.gob.mx ,Morena,Maestría,4 ,0,4 ,1,4 ,1,0,0,2,12
Dip. Laura Imelda Pérez Segura,Mayoría Relativa,Jalisco ,16 ,imelda.perez@diputados.gob.mx ,Morena,Licenciatura,0,0,15 ,10,2 ,0,0,0,10,17
Dip. Iván Arturo Pérez Negrón Ruiz,Mayoría Relativa,Michoacán ,10 ,ivan.pereznegron@diputados.gob.mx ,Encuentro,Doctorado,9 ,0,6 ,1,8 ,1,0,0,2,23
Dip. Roque Luis Rabelo Velasco,Mayoría Relativa,Chiapas ,4 ,roque.rabelo@diputados.gob.mx ,Morena,Bachillerato ,1 ,0,15 ,10,1 ,1,2 ,0,11,19
Dip. Verónica Ramos Cruz,Representación proporcional,Jalisco ,1 ,veronica.ramos@diputados.gob.mx ,Morena,Taller,1 ,0,15 ,10,1 ,0,0,0,10,17
Dip. Juan Israel Ramos Ruiz,Representación proporcional,Guanajuato ,2 ,juan.ramos@diputados.gob.mx ,Morena,Secundaria,1 ,0,15 ,10,3 ,0,0,0,10,19
Dip. Guadalupe Ramos Sotelo,Mayoría Relativa,Ciudad de México ,24 ,guadalupe.ramos@diputados.gob.mx ,Morena,Carrera Técnica,14 ,0,15 ,10,0,0,1 ,0,10,30
Dip. Mario Alberto Ramos Tamez,Mayoría Relativa,Tamaulipas ,5 ,mario.ramos@diputados.gob.mx ,ano,Maestría,24 ,5,27 ,1,6 ,0,1 ,0,6,58
Dip. Éctor Jaime Ramírez Barba,Mayoría Relativa,Guanajuato ,5 ,ramirezbarba@diputados.gob.mx ,pan,Doctorado,79 ,4,27 ,2,7 ,0,2 ,0,6,115
Dip. Alfonso Ramírez Cuellar,Mayoría Relativa,Ciudad de México ,14 ,alfonso.ramirez@diputados.gob.mx ,Morena,,1 ,0,15 ,10,2 ,0,0,0,10,18
Dip. Martha Patricia Ramírez Lucero,Representación proporcional,Baja California ,1 ,martha.ramirez@diputados.gob.mx ,Morena,Licenciatura,6 ,0,15 ,10,6 ,0,0,0,10,27
Dip. Francisco Javier Ramírez Navarrete,Representación proporcional,México ,5 ,javier.ramirez@diputados.gob.mx ,Morena,Licenciatura,3 ,0,15 ,10,4 ,1,0,0,11,22
Dip. Juan Francisco Ramírez Salcido,Mayoría Relativa,Jalisco ,14 ,jfrancisco.ramirez@diputados.gob.mx ,ano,Licenciatura,28 ,6,27 ,1,6 ,2,2 ,0,9,63
Dip. Carmina Yadira Regalado Mardueño,Representación proporcional,Nayarit ,1 ,carmina.regalado@diputados.gob.mx ,Morena,Licenciatura,3 ,0,15 ,10,6 ,1,0,0,11,24
Dip. Nancy Claudia Reséndiz Hernández,Mayoría Relativa,México ,41 ,nancy.resendiz@diputados.gob.mx ,Encuentro,Maestría,13 ,2,6 ,1,2 ,0,1 ,0,3,22
Dip. Emmanuel Reyes Carmona,Mayoría Relativa,Guanajuato ,13 ,emmanuel.reyes@diputados.gob.mx ,Morena,,6 ,0,22 ,1,18 ,0,4 ,0,1,50
Dip. Marco Antonio Reyes Colín,Mayoría Relativa,México ,40 ,marco.reyes@diputados.gob.mx ,Morena,Licenciatura,11 ,2,15 ,10,0,0,0,0,12,26
Dip. Armando Reyes Ledesma,Mayoría Relativa,Baja California ,3 ,armando.reyes@diputados.gob.mx ,_PT,Bachillerato ,6 ,1,6 ,0,6 ,0,0,0,1,18
Dip. Valentín Reyes López,Mayoría Relativa,Veracruz ,17 ,valentin.reyes@diputados.gob.mx ,Morena,"Presidente Municipal, Veracruz - Tres Valles",4 ,0,15 ,10,0,0,1 ,0,10,20
Dip. Idalia Reyes Miguel,Representación proporcional,Guerrero ,4 ,idalia.reyes@diputados.gob.mx ,Morena,Maestría,8 ,0,15 ,10,2 ,1,0,0,11,25
Dip. Claudia Reyes Montiel,Mayoría Relativa,México ,18 ,claudia.reyes@diputados.gob.mx ,d01,Maestría,4 ,1,43 ,1,11 ,0,2 ,0,2,60
Dip. Miguel Alonso Riggs Baeza,Mayoría Relativa,Chihuahua ,6 ,miguel.riggs@diputados.gob.mx ,pan,Maestría,106 ,6,27 ,2,4 ,1,3 ,0,9,140
Dip. Ana Lucia Riojas Martínez,Representación proporcional,Ciudad de México ,4 ,lucia.riojas@diputados.gob.mx ,_SP,Licenciatura,6 ,1,0,0,1 ,0,6 ,0,1,13
Dip. Fortunato Rivera Castillo,Mayoría Relativa,Hidalgo ,1 ,fortunato.rivera@diputados.gob.mx ,Morena,Especialidad,4 ,1,15 ,10,0,0,1 ,0,11,20
Dip. Marcelino Rivera Hernández,Mayoría Relativa,San Luis Potosí ,7 ,marcelino.rivera@diputados.gob.mx ,pan,Licenciatura,96 ,4,28 ,2,3 ,0,2 ,0,6,129
Dip. Cruz Juvenal Roa Sánchez,Mayoría Relativa,México ,36 ,cruz.roa@diputados.gob.mx ,Pri,Doctorado,43 ,6,1 ,0,2 ,0,1 ,0,6,47
Dip. Ernesto Alfonso Robledo Leal,Mayoría Relativa,Nuevo León ,11 ,alfonso.robledo@diputados.gob.mx ,pan,Doctorado,84 ,6,28 ,2,5 ,3,2 ,0,11,119
Dip. Maricruz Roblero Gordillo,Mayoría Relativa,Chiapas ,13 ,maricruz.roblero@diputados.gob.mx ,_PT,Licenciatura,5 ,1,6 ,0,3 ,0,0,0,1,14
Dip. Beatriz Silvia Robles Gutiérrez,Mayoría Relativa,Querétaro ,3 ,beatriz.robles@diputados.gob.mx ,Morena,Maestría,42 ,2,15 ,10,2 ,0,0,0,12,59
Dip. Benjamín Robles Montoya,Mayoría Relativa,Oaxaca ,8 ,benjamin.robles@diputados.gob.mx ,_PT,Maestría,2 ,1,6 ,0,24 ,1,0,0,2,32
Dip. Martha Robles Ortiz,Mayoría Relativa,México ,29 ,martha.robles@diputados.gob.mx ,Morena,Consejera estatal,46 ,5,15 ,10,0,0,1 ,0,15,62
Dip. Sonia Rocha Acosta,Mayoría Relativa,Querétaro ,1 ,sonia.rocha@diputados.gob.mx ,pan,Maestría,83 ,7,27 ,2,5 ,0,2 ,0,9,117
Dip. Ma. Sara Rocha Medina,Mayoría Relativa,San Luis Potosí ,1 ,sara.rocha@diputados.gob.mx ,Pri,Especialidad,24 ,1,1 ,0,7 ,0,0,0,1,32
Dip. Efraín Rocha Vega,Representación proporcional,Chihuahua ,1 ,efrain.rocha@diputados.gob.mx ,Morena,Licenciatura,4 ,0,15 ,10,0,0,1 ,0,10,20
Dip. Ediltrudis Rodríguez Arellano,Representación proporcional,Tabasco ,3 ,ediltrudis.rodriguez@diputados.gob.mx ,Morena,Licenciatura,4 ,0,15 ,10,1 ,0,1 ,0,10,21
Dip. Mario Alberto Rodríguez Carrillo,Mayoría Relativa,Jalisco ,4 ,mario.rodriguez@diputados.gob.mx ,ano,Doctorado,12 ,1,27 ,1,5 ,0,2 ,0,2,46
Dip. Manuel Rodríguez González,Mayoría Relativa,Tabasco ,4 ,manuel.rodriguez@diputados.gob.mx ,Morena,Maestría,2 ,0,15 ,10,3 ,0,0,0,10,20
Dip. Eraclio Rodríguez Gómez,Mayoría Relativa,Chihuahua ,7 ,eraclio.rodriguez@diputados.gob.mx ,Morena,,0,0,15 ,10,2 ,0,0,0,10,17
Dip. Mariana Rodríguez Mier Y Terán,Representación proporcional,Tamaulipas ,2 ,mariana.rodriguez@diputados.gob.mx ,Pri,Maestría,48 ,6,1 ,0,11 ,0,0,0,6,60
Dip. Iván Arturo Rodríguez Rivera,Representación proporcional,México ,5 ,ivan.rodriguez@diputados.gob.mx ,pan,Doctorado,94 ,6,27 ,2,3 ,1,2 ,0,9,126
Dip. Ana María Rodríguez Ruiz,Mayoría Relativa,Ciudad de México ,18 ,ana.rodriguez@diputados.gob.mx ,Morena,Diplomado,16 ,1,15 ,10,2 ,0,0,0,11,33
Dip. Ariel Rodríguez Vázquez,Mayoría Relativa,Guanajuato ,1 ,ariel.rodriguez@diputados.gob.mx ,ano,Doctorado,33 ,4,27 ,1,0,0,1 ,0,5,61
Dip. Norma Azucena Rodríguez Zamora,Representación proporcional,Veracruz ,3 ,norma.rodriguez@diputados.gob.mx ,d01,,6 ,1,42 ,1,9 ,0,1 ,0,2,58
Dip. Laura Angélica Rojas Hernández,Representación proporcional,México ,5 ,laura.rojas@diputados.gob.mx ,pan,Maestría,42 ,4,25 ,2,7 ,1,3 ,0,7,77
Dip. Beatriz Rojas Martínez,Mayoría Relativa,Ciudad de México ,7 ,beatriz.rojas@diputados.gob.mx ,Morena,Licenciatura,7 ,1,15 ,10,1 ,0,5 ,0,11,28
Dip. Ana Karina Rojo Pimentel,Mayoría Relativa,Ciudad de México ,20 ,ana.rojo@diputados.gob.mx ,_PT,Licenciatura,19 ,2,6 ,0,1 ,0,0,0,2,26
Dip. Jorge Romero Herrera,Representación proporcional,Ciudad de México ,4 ,jromero.herrera@diputados.gob.mx ,pan,Licenciatura,88 ,6,26 ,2,2 ,0,1 ,0,8,117
Dip. Juan Carlos Romero Hicks,Mayoría Relativa,Guanajuato ,4 ,romero.hicks@diputados.gob.mx ,pan,Maestría,87 ,5,27 ,2,11 ,8,4 ,1,16,129
Dip. Gloria Romero León,Representación proporcional,Hidalgo ,5 ,gloria.romero@diputados.gob.mx ,pan,Maestría,92 ,6,26 ,2,4 ,0,3 ,0,8,125
Dip. Martha Estela Romo Cuéllar,Mayoría Relativa,Jalisco ,2 ,estela.romo@diputados.gob.mx ,pan,Maestría,104 ,6,28 ,2,3 ,0,2 ,0,8,137
Dip. Guadalupe Romo Romo,Mayoría Relativa,Jalisco ,3 ,guadalupe.romo@diputados.gob.mx ,pan,Secundaria,86 ,7,28 ,2,2 ,0,3 ,0,9,119
Dip. María Guadalupe Román Ávila,Mayoría Relativa,México ,17 ,guadalupe.roman@diputados.gob.mx ,Morena,Carrera Técnica,25 ,1,15 ,10,0,0,1 ,0,11,41
Dip. Eduardo Ron Ramos,Mayoría Relativa,Jalisco ,1 ,eduardo.ron@diputados.gob.mx ,ano,Licenciatura,18 ,4,27 ,1,1 ,0,3 ,0,5,49
Dip. Luz Estefanía Rosas Martínez,Representación proporcional,Ciudad de México ,4 ,luz.rosas@diputados.gob.mx ,Morena,Pasante,1 ,0,22 ,1,5 ,0,1 ,0,1,29
Dip. José Salvador Rosas Quintanilla,Mayoría Relativa,Tamaulipas ,1 ,jose.rosas@diputados.gob.mx ,pan,Licenciatura,90 ,6,26 ,2,24 ,1,2 ,0,9,142
Dip. Erika Mariana Rosas Uribe,Representación proporcional,Sinaloa ,1 ,erika.rosas@diputados.gob.mx ,Morena,Licenciatura,30 ,4,15 ,10,7 ,1,26 ,4,19,78
Dip. María Rosete ,Mayoría Relativa,Ciudad de México ,8 ,maria.rosete@diputados.gob.mx ,Encuentro,Licenciatura,21 ,2,6 ,1,8 ,0,0,0,3,35
Dip. Roberto Antonio Rubio Montejo,Mayoría Relativa,Chiapas ,11 ,roberto.rubio@diputados.gob.mx ,vrd,Licenciatura,1 ,0,18 ,1,1 ,0,15 ,3,4,35
Dip. Ernesto Guillermo Ruffo Appel,Representación proporcional,Baja California ,1 ,ernesto.ruffo@diputados.gob.mx ,pan,Licenciatura,68 ,6,25 ,2,3 ,0,2 ,0,8,98
Dip. Maximiliano Ruiz Arias,Mayoría Relativa,Sinaloa ,1 ,maximiliano.ruiz@diputados.gob.mx ,Morena,Licenciatura,5 ,2,15 ,10,1 ,0,1 ,0,12,22
Dip. Hugo Rafael Ruiz Lustre,Representación proporcional,Hidalgo ,5 ,hugo.ruiz@diputados.gob.mx ,Morena,,0,0,15 ,10,2 ,0,0,0,10,17
Dip. Jorge Eugenio Russo Salido,Representación proporcional,Sonora ,1 ,jorge.russo@diputados.gob.mx ,ano,Licenciatura,16 ,3,27 ,1,0,0,3 ,0,4,46
Dip. Eulalio Juan Ríos Fararoni,Mayoría Relativa,Veracruz ,20 ,eulaliojuan.rios@diputados.gob.mx ,Morena,Pasante,2 ,0,15 ,10,1 ,0,1 ,0,10,19
Dip. Josefina Salazar Báez,Mayoría Relativa,San Luis Potosí ,5 ,josefina.salazar@diputados.gob.mx ,pan,Licenciatura,94 ,7,28 ,2,5 ,0,2 ,0,9,129
Dip. Luis Fernando Salazar Fernández,Mayoría Relativa,Coahuila ,5 ,luis.salazar@diputados.gob.mx ,Morena,Maestría,36 ,2,11 ,4,3 ,0,1 ,0,6,51
Dip. María Lucero Saldaña Pérez,Representación proporcional,Puebla ,4 ,lucero.saldana@diputados.gob.mx ,Pri,Doctorado,42 ,6,1 ,0,10 ,0,1 ,0,6,54
Dip. Francisco Javier Saldivar Camacho,Mayoría Relativa,Ciudad de México ,17 ,francisco.saldivar@diputados.gob.mx ,Encuentro,Carrera Trunca,11 ,0,6 ,1,5 ,0,0,0,1,22
Dip. Javier Salinas Narváez,Representación proporcional,México ,5 ,javier.salinas@diputados.gob.mx ,Morena,Doctorado,3 ,1,22 ,1,6 ,0,1 ,0,2,32
Dip. Ruth Salinas Reyes,Representación proporcional,México ,5 ,ruth.salinas@diputados.gob.mx ,ano,Coordinadora Regional de la Quinta Circunscripción,17 ,2,27 ,1,8 ,0,2 ,0,3,54
Dip. Hernán Salinas Wolberg,Mayoría Relativa,Nuevo León ,1 ,hernan.salinas@diputados.gob.mx ,pan,.,86 ,6,27 ,2,3 ,1,2 ,0,9,118
Dip. Nayeli Salvatori Bojalil,Mayoría Relativa,Puebla ,10 ,nayeli.salvatori@diputados.gob.mx ,Encuentro,Licenciatura,10 ,0,6 ,1,8 ,1,4 ,0,2,28
Dip. Reginaldo Sandoval Flores,Representación proporcional,Michoacán ,5 ,reginaldo.sandoval@diputados.gob.mx ,_PT,Licenciatura,6 ,1,6 ,0,16 ,7,3 ,1,9,31
Dip. María Liduvina Sandoval Mendoza,Representación proporcional,Colima ,5 ,liduvina.sandoval@diputados.gob.mx ,pan,Maestría,86 ,6,27 ,2,1 ,0,6 ,0,8,120
Dip. Lucinda Sandoval Soberanes,Representación proporcional,Sinaloa ,1 ,lucinda.sandoval@diputados.gob.mx ,Morena,,11 ,2,15 ,10,0,0,1 ,0,12,27
Dip. Azael Santiago Chepi,Mayoría Relativa,Oaxaca ,4 ,azael.santiago@diputados.gob.mx ,Morena,Maestría,4 ,0,15 ,10,7 ,4,0,0,14,26
Dip. Iran Santiago Manuel,Representación proporcional,Oaxaca ,3 ,iran.santiago@diputados.gob.mx ,Morena,Maestría,5 ,1,15 ,10,4 ,1,0,0,12,24
Dip. Nancy Yadira Santiago Marcos,Mayoría Relativa,Sinaloa ,5 ,yadira.marcos@diputados.gob.mx ,Morena,Licenciatura,18 ,2,15 ,10,0,0,1 ,0,12,34
Dip. Edelmiro Santiago Santos Díaz,Representación proporcional,Nuevo León ,2 ,edelmiro.santos@diputados.gob.mx ,Morena,Posgrado,12 ,1,15 ,10,6 ,0,0,0,11,33
Dip. Dulce María Sauri Riancho,Representación proporcional,Yucatán ,3 ,dulce.sauri@diputados.gob.mx ,Pri,Doctorado,15 ,0,1 ,0,22 ,2,2 ,0,2,40
